Element Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Header File,Platform Notes,History,Unicode,ElementType
EnumResNameProc,Yes,Yes,Yes,callback/Kernel/Resources,user-defined,winbase.h,ENUMRESNAMEPROC,,No,callback function
EnumResTypeProc,Yes,Yes,Yes,callback/Kernel/Resources,user-defined,winbase.h,ENUMRESTYPEPROC,,No,callback function
EnumThreadWndProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,WNDENUMPROC,,No,callback function
EnumTimeFormatsProc,Yes,No,Yes,callback/Kernel/NLS,user-defined,winnls.h,TIMEFMT_ENUMPROC,,WinNT,callback function
EnumWindowsProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,WNDENUMPROC,,No,callback function
EnumWindowStationProc,Yes,No,No,callback/user,user-defined,winuser.h,WINSTAENUMPROC,,WinNT,callback function
ExtensionPropSheetPageProc,Yes,Yes,Yes,callbackback/user,user-defined,prsht.h,LPFNADDPROPSHEETPAGES,,No,callback function
FileIOCompletionRoutine,Yes,No,No,callback/kernel,user-defined, -,,,No,callback function
FMExtensionProc,Yes,No,No,callback/filemgr,user-defined,wfext.h,"""Windows 95: Only supports 16-bit FileManager""",,WinNT,callback function
ForegroundIdleProc,Yes,No,No,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
FRHookProc,Yes,Yes,Yes,callback/shell/commdlg,user-defined,commdlg.h,LPFRHOOKPROC,,No,callback function
GetMsgProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
IOProc,Yes,Yes,Yes,callback/mm,user-defined,mmsystem.h,MMIOPROC,,No,callback function
JournalPlaybackProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
JournalRecordProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
KeyboardProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
LineDDAProc,Yes,Yes,Yes,callback/GDI,user-defined,wingdi.h,LINEDDAPROC,,No,callback function
MessageProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
MidiInProc,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
MidiOutProc,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
MMIOProc,Yes,Yes,Yes,callback/mm,user-defined,mmsystem.h,MMIOPROC,,No,callback function
MouseProc,Yes,Yes,Yes,callback/mm,user-defined,winuser.h,HOOKPROC,,No,callback function
MyStatusProc,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
OFNHookProc,Yes,Yes,No,callback/common dialogs,user-defined, -,LPOFNHOOKPROC,,No,callback function
OFNHookProcOldStyle,Yes,Yes,Yes,callback/common dialogs,user-defined, -,LPOFNHOOKPROC,,No,callback function
ORASADFunc,Yes,No,No,callback/Remote Access Service,user-defined,ras.h,,,No,callback function
OutputProc,Yes,Yes,Yes,callback/GDI,user-defined,winuser.h,GRAYSTRINGPROC,,No,callback function
PagePaintHook,Yes,Yes,Yes,callback/shell/commdlg,user-defined,commdlg.h,LPPAGEPAINTHOOK,,No,callback function
PageSetupHook,Yes,Yes,Yes,callback/shell/commdlg,user-defined,commdlg.h,LPPAGESETUPHOOK,,No,callback function
PrintHookProc,Yes,Yes,Yes,callback/common dialogs,user-defined,commdlg.h,LPPRINTHOOKPROC,,No,callback function
PropEnumProc,Yes,Yes,No,callback/user,user-defined,winuser.h,PROPENUMPROC,,WinNT,callback function
PropEnumProcEx,Yes,Yes,No,callback/user,user-defined,winuser.h,PROPENUMPROCEX,,WinNT,callback function
PropSheetPageProc,Yes,Yes,Yes,callback/user,user-defined,prsht.h,LPFNPSPCALLBACK,,WinNT,callback function
PropSheetProc,Yes,Yes,Yes,callback/user,user-defined,prsht.h,PFNPROPSHEETCALLBACK,,No,callback function
RASADCallbackFunc,Yes,No,No,callback/Remote Access Service,user-defined,ras.h,,New for Windows NT 4.0,WinNT,callback function
RASADFunc,Yes,No,No,callback/Remote Access Service,user-defined,ras.h,,New for Windows NT 4.0,WinNT,callback function
RasDialFunc,Yes,Yes,No,callback/ras,user-defined,ras.h,,,No,callback function
RasDialFunc1,Yes,Yes,No,callback/ras,user-defined,ras.h,,,No,callback function
RasDialFunc2,Yes,No,No,RAS,user-defined,ras.h,,New for Windows NT 4.0,No,callback function
RasPBDlgFunc,Yes,No,No,RAS,user-defined,rasdlg.h,,New for Windows NT 4.0,WinNT,callback function
SendAsyncProc,Yes,Yes,No,callback/comm,user-defined,winuser.h,SENDASYNCPROC,,No,callback function
ServiceMain,Yes,No,No,callback/services,user-defined, -,,,No,callback function
SetupHookProc,Yes,Yes,Yes,callback/shell/commdlg,user-defined,commdlg.h,LPSETUPHOOKPROC,,No,callback function
ShellProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
SnmpExtensionInit,Yes,No,No,callback/SNMP,user-defined, -,,,No,callback function
SnmpExtensionQuery,Yes,No,No,callback/SNMP,user-defined, -,,,No,callback function
SnmpExtensionTrap,Yes,No,No,callback/SNMP,user-defined, -,,,No,callback function
SoundSentryProc,Yes,Yes,No,callback/access,user-defined, -,,,No,callback function
SymbolRegisteredCallback,Yes,Yes,No,callback/kernel/exe image tools,imagehlp.lib,imagehlp.h,Windows 95: IMAGEHLP is available as a redistributable.,,No,callback function
SymEnumModulesCallback,Yes,Yes,No,callback/kernel/exe image tools,imagehlp.lib,imagehlp.h,Windows 95: IMAGEHLP is available as a redistributable.,,No,callback function
SymEnumSymbolsCallback,Yes,Yes,No,callback/kernel/exe image tools,imagehlp.lib,imagehlp.h,Windows 95: IMAGEHLP is available as a redistributable.,,No,callback function
SysMsgProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
TimeProc,Yes,Yes,No,callback/mm,user-defined,mmsystem.h,TIMECALLBACK,,No,callback function
TimerProc,Yes,No,No,callback/user/callback,user-defined,winuser.h,TIMERPROC,,No,callback function
waveInProc,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
waveOutProc,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
WindowProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,WNDPROC,,No,callback function
MCI_BREAK,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_CAPTURE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_CLOSE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
