Element Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Header File,Platform Notes,History,Unicode,ElementType
glMaterialfv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glMateriali,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glMaterialiv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glMatrixMode,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glMultMatrixd,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glMultMatrixf,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glNewList,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glNormal3b,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glNormal3bv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glNormal3d,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glNormal3dv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glNormal3f,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glNormal3fv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glNormal3i,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glNormal3iv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glNormal3s,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glNormal3sv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glNormalPointerEXT,Yes,Yes,No,OpenGL extensions,,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
GlobalAddAtom,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,,WinNT,function
GlobalAlloc,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,GMEM_FIXED is expensive (locks pages) on Win32s - use GMEM_MOVEABLE,,No,function
GlobalCompact,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,Obsolete,No,function
GlobalDeleteAtom,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,,No,function
GlobalDiscard,Yes,Yes,Yes,macro,,winbase.h,,,No,function
GlobalFindAtom,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,,WinNT,function
GlobalFix,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,Obsolete,No,function
GlobalFlags,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,,No,function
GlobalFree,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,,No,function
GlobalGetAtomName,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,,WinNT,function
GlobalHandle,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,,No,function
GlobalLock,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,,No,function
GlobalLRUNewest,Yes,Yes,Yes,macro,,winbase.h,,Obsolete,No,function
GlobalLRUOldest,Yes,Yes,Yes,macro,,winbase.h,,Obsolete,No,function
GlobalMemoryStatus,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,,No,function
GlobalReAlloc,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,,No,function
GlobalSize,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,,No,function
GlobalUnfix,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,Obsolete,No,function
GlobalUnlock,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,,No,function
GlobalUnWire,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,Obsolete,No,function
GlobalWire,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,Obsolete,No,function
glOrtho,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPassThrough,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPixelMapfv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPixelMapuiv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPixelMapusv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPixelStoref,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPixelStorei,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPixelTransferf,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPixelTransferi,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPixelZoom,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPointSize,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPolygonMode,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPolygonStipple,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPopAttrib,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPopMatrix,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPopName,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPushAttrib,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPushMatrix,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glPushName,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos2d,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos2dv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos2f,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos2fv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos2i,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos2iv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos2s,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos2sv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos3d,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos3dv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos3f,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos3fv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos3i,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos3iv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos3s,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos3sv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos4d,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos4dv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos4f,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos4fv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos4i,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos4iv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos4s,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRasterPos4sv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glReadBuffer,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glReadPixels,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRectd,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRectdv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRectf,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRectfv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRecti,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRectiv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRects,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRectsv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRenderMode,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRotated,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glRotatef,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glScaled,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glScalef,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glScissor,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glSelectBuffer,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glShadeModel,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glStencilFunc,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glStencilMask,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glStencilOp,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord1d,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord1dv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord1f,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord1fv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord1i,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord1iv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord1s,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord1sv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord2d,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord2dv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord2f,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord2fv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord2i,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord2iv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord2s,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord2sv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord3d,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord3dv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord3f,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord3fv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord3i,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord3iv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord3s,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord3sv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord4d,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord4dv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord4f,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord4fv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord4i,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord4iv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord4s,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoord4sv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexCoordPointerEXT,Yes,Yes,No,OpenGL extensions,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexEnvf,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexEnvfv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexEnvi,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexEnviv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexGend,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexGendv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexGenf,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexGenfv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexGeni,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexGeniv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexImage1D,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexImage2D,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexParameterf,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexParameterfv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexParameteri,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTexParameteriv,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTranslated,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
glTranslatef,Yes,Yes,No,OpenGL,opengl32.lib,gl.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluBeginCurve,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluBeginPolygon,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluBeginSurface,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluBeginTrim,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluBuild1DMipmaps,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluBuild2DMipmaps,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluCylinder,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluDeleteNurbsRenderer,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluDeleteQuadric,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluDeleteTess,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluDisk,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluEndCurve,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluEndPolygon,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluEndSurface,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluEndTrim,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluErrorString,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluErrorUnicodeStringEXT,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,WinNT,function
gluGetNurbsProperty,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluGetString,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluGetTessProperty,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluLoadSamplingMatrices,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluLookAt,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluNewNurbsRenderer,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluNewQuadric,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluNewTess,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluNextContour,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluNurbsCallback,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluNurbsCurve,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluNurbsProperty,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluNurbsSurface,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluOrtho2D,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluPartialDisk,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluPerspective,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
gluPickMatrix,Yes,Yes,No,OpenGL Utils,glu32.lib,glu.h,"""Windows 95: OpenGL is available as a redistributable""",New for Windows NT 3.5,No,function
